iter	Passed	Remaining
1498	99375	99508
1499	99479	99479
1500	99546	99414
1501	99655	99390
1502	99730	99332
1503	99805	99274
1504	99881	99217
1505	99957	99161
1506	100029	99099
1507	100101	99039
1508	100172	98977
1509	100235	98908
1510	100320	98860
1511	100392	98798
1512	100474	98748
1513	100559	98699
1514	100640	98647
1515	100721	98595
1516	100788	98529
1517	100856	98464
1518	100945	98420
1519	101024	98366
1520	101102	98310
1521	101183	98258
1522	101271	98212
1523	101355	98163
1524	101439	98113
1525	101522	98062
1526	101608	98015
1527	101679	97952
1528	101752	97892
1529	101831	97838
1530	101902	97775
1531	101978	97718
1532	102054	97660
1533	102135	97608
1534	102213	97552
1535	102284	97489
1536	102354	97426
1537	102425	97364
1538	102507	97311
1539	102582	97253
1540	102656	97194
1541	102726	97130
1542	102795	97066
1543	102871	97008
1544	102932	96936
1545	103008	96878
1546	103073	96810
1547	103143	96747
1548	103230	96699
1549	103312	96647
1550	103386	96587
1551	103456	96523
1552	103531	96464
1553	103609	96409
1554	103684	96350
1555	103748	96280
1556	103830	96228
1557	103910	96173
1558	103982	96111
1559	104054	96050
1560	104126	95988
1561	104197	95925
1562	104266	95861
1563	104356	95815
1564	104433	95758
1565	104511	95702
1566	104601	95656
1567	104676	95597
1568	104753	95539
1569	104823	95476
1570	104894	95413
1571	104973	95357
1572	105059	95308
1573	105129	95244
1574	105200	95181
1575	105278	95124
1576	105349	95061
1577	105446	95022
1578	105540	94979
1579	105641	94943
1580	105709	94878
1581	105784	94818
1582	105854	94754
1583	105924	94689
1584	105999	94630
1585	106070	94567
1586	106140	94503
1587	106212	94440
1588	106284	94378
1589	106386	94342
1590	106472	94293
1591	106550	94235
1592	106634	94183
1593	106705	94120
1594	106776	94056
1595	106835	93982
1596	106907	93921
1597	107020	93894
1598	107131	93866
1599	107259	93852
1600	107335	93792
1601	107402	93725
1602	107472	93661
1603	107536	93591
1604	107608	93529
1605	107700	93483
1606	107776	93424
1607	107870	93380
1608	107945	93319
1609	108013	93254
1610	108085	93190
1611	108157	93127
1612	108223	93060
1613	108321	93019
1614	108389	92953
1615	108478	92904
1616	108546	92838
1617	108610	92768
1618	108672	92697
1619	108755	92643
1620	108826	92579
1621	108901	92519
1622	108989	92469
1623	109064	92409
1624	109139	92348
1625	109220	92293
1626	109286	92225
1627	109358	92162
1628	109436	92104
1629	109502	92036
1630	109567	91966
1631	109633	91898
1632	109714	91842
1633	109802	91792
1634	109888	91741
1635	109960	91678
1636	110034	91617
1637	110102	91550
1638	110163	91478
1639	110230	91410
1640	110291	91338
1641	110364	91276
1642	110446	91221
1643	110522	91161
1644	110593	91096
1645	110660	91029
1646	110728	90962
1647	110816	90912
1648	110893	90852
1649	110968	90792
1650	111036	90725
1651	111099	90654
1652	111167	90588
1653	111232	90519
1654	111308	90459
1655	111379	90395
1656	111452	90332
1657	111517	90263
1658	111579	90191
1659	111644	90122
1660	111718	90061
1661	111783	89992
1662	111853	89926
